timept,category,freeze,utime,stime,cutime,cstime,min_flt,maj_flt,cmin_flt,cmaj_flt,vsz,rss,gen0,gen1,gen2,perm
0,reduction,False,0,0,0,0,651,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1501,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1931,0,0,0,233144320,4783,15,0,0,20610
1,reduction,True,0,0,0,0,2309,0,0,0,233144320,5152,26,0,0,20610
0,reduction,False,0,0,0,0,644,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1482,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1930,0,0,0,233144320,4782,15,0,0,20610
1,reduction,True,0,0,0,0,2300,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,642,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1481,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1928,0,0,0,233144320,4782,15,0,0,20610
1,reduction,True,0,0,0,0,2297,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,637,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1481,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1930,0,0,0,233144320,4783,15,0,0,20610
1,reduction,True,0,0,0,0,2309,0,0,0,233144320,5152,26,0,0,20610
0,reduction,False,0,0,0,0,640,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1480,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1923,0,0,0,233144320,4816,15,0,0,20610
1,reduction,True,0,0,0,0,2293,0,0,0,233144320,5153,26,0,0,20610
0,reduction,False,0,0,0,0,640,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1481,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1932,0,0,0,233144320,4782,15,0,0,20610
1,reduction,True,0,0,0,0,2301,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,640,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1478,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1923,0,0,0,233144320,4814,15,0,0,20610
1,reduction,True,0,0,0,0,2292,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,635,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1476,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1922,0,0,0,233144320,4814,15,0,0,20610
1,reduction,True,0,0,0,0,2293,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,641,0,0,0,233144320,4785,683,8,8,0
1,reduction,False,0,0,0,0,1488,0,0,0,233144320,5186,694,8,8,0
0,reduction,True,0,0,0,0,1931,0,0,0,233144320,4784,15,0,0,20610
1,reduction,True,0,0,0,0,2310,0,0,0,233144320,5169,26,0,0,20610
0,reduction,False,0,0,0,0,641,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1478,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1932,0,0,0,233144320,4783,15,0,0,20610
1,reduction,True,0,0,0,0,2313,0,0,0,233144320,5152,26,0,0,20610
0,reduction,False,0,0,0,0,638,0,0,0,233144320,4782,683,8,8,0
1,reduction,False,0,0,0,0,1474,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1935,0,0,0,233144320,4782,15,0,0,20610
1,reduction,True,0,0,0,0,2305,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,637,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1477,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1924,0,0,0,233144320,4814,15,0,0,20610
1,reduction,True,0,0,0,0,2296,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,644,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1483,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1924,0,0,0,233144320,4814,15,0,0,20610
1,reduction,True,0,0,0,0,2297,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,642,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1483,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1934,0,0,0,233144320,4785,15,0,0,20610
1,reduction,True,0,0,0,0,2317,0,0,0,233144320,5154,26,0,0,20610
0,reduction,False,0,0,0,0,637,0,0,0,233144320,4782,683,8,8,0
1,reduction,False,0,0,0,0,1477,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1934,0,0,0,233144320,4784,15,0,0,20610
1,reduction,True,0,0,0,0,2311,0,0,0,233144320,5169,26,0,0,20610
0,reduction,False,0,0,0,0,640,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1484,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1926,0,0,0,233144320,4782,15,0,0,20610
1,reduction,True,0,0,0,0,2298,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,638,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1477,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1933,0,0,0,233144320,4783,15,0,0,20610
1,reduction,True,0,0,0,0,2315,0,0,0,233144320,5152,26,0,0,20610
0,reduction,False,0,0,0,0,643,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1489,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1933,0,0,0,233144320,4784,15,0,0,20610
1,reduction,True,0,0,0,0,2314,0,0,0,233144320,5153,26,0,0,20610
0,reduction,False,0,0,0,0,640,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1481,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1932,0,0,0,233144320,4783,15,0,0,20610
1,reduction,True,0,0,0,0,2312,0,0,0,233144320,5152,26,0,0,20610
0,reduction,False,0,0,0,0,637,0,0,0,233144320,4785,683,8,8,0
1,reduction,False,0,0,0,0,1477,0,0,0,233144320,5186,694,8,8,0
0,reduction,True,0,0,0,0,1925,0,0,0,233144320,4798,15,0,0,20610
1,reduction,True,0,0,0,0,2298,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,647,0,0,0,233144320,4783,683,8,8,0
1,reduction,False,0,0,0,0,1482,0,0,0,233144320,5184,694,8,8,0
0,reduction,True,0,0,0,0,1920,0,0,0,233144320,4831,15,0,0,20610
1,reduction,True,0,0,0,0,2294,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,640,0,0,0,233144320,4785,683,8,8,0
1,reduction,False,0,0,0,0,1489,0,0,0,233144320,5186,694,8,8,0
0,reduction,True,0,0,0,0,1924,0,0,0,233144320,4814,15,0,0,20610
1,reduction,True,0,0,0,0,2308,0,0,0,233144320,5151,26,0,0,20610
0,reduction,False,0,0,0,0,648,0,0,0,233144320,4785,683,8,8,0
1,reduction,False,0,0,0,0,1498,0,0,0,233144320,5186,694,8,8,0
0,reduction,True,0,0,0,0,1930,0,0,0,233144320,4784,15,0,0,20610
1,reduction,True,0,0,0,0,2310,0,0,0,233144320,5169,26,0,0,20610
0,reduction,False,0,0,0,0,635,0,0,0,233144320,4785,683,8,8,0
1,reduction,False,0,0,0,0,1479,0,0,0,233144320,5186,694,8,8,0
0,reduction,True,0,0,0,0,1923,0,0,0,233144320,4815,15,0,0,20610
1,reduction,True,0,0,0,0,2307,0,0,0,233144320,5152,26,0,0,20610
0,reduction,False,0,0,0,0,637,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1480,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1931,0,0,0,233144320,4783,15,0,0,20610
1,reduction,True,0,0,0,0,2309,0,0,0,233144320,5152,26,0,0,20610
0,reduction,False,0,0,0,0,640,0,0,0,233144320,4784,683,8,8,0
1,reduction,False,0,0,0,0,1482,0,0,0,233144320,5185,694,8,8,0
0,reduction,True,0,0,0,0,1926,0,0,0,233144320,4782,15,0,0,20610
