timept, category, freeze, utime, stime, cutime, cstime, min_flt, maj_flt, cmin_flt, cmaj_flt, vsz, rss, gen0, gen1, gen2, perm
0, reduction, False, 0, 0, 0, 0, 665, 0, 0, 0, 233938944, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1063, 0, 0, 0, 233938944, 5591, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2012, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2372, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 645, 0, 0, 0, 233857024, 5221, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1046, 0, 0, 0, 233857024, 5589, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2022, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2382, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 634, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1029, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2012, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2370, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 651, 0, 0, 0, 233857024, 5221, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1057, 0, 0, 0, 233857024, 5621, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2026, 0, 0, 0, 233857024, 5217, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2389, 0, 0, 0, 233857024, 5601, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 651, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1062, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2020, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2384, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 650, 0, 0, 0, 233857024, 5221, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1052, 0, 0, 0, 233857024, 5589, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2021, 0, 0, 0, 233857024, 5233, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2385, 0, 0, 0, 233857024, 5601, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 652, 0, 0, 0, 233857024, 5232, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1055, 0, 0, 0, 233857024, 5600, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2024, 0, 0, 0, 233857024, 5233, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2387, 0, 0, 0, 233857024, 5601, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 650, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1053, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2024, 0, 0, 0, 233857024, 5233, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2390, 0, 0, 0, 233857024, 5601, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 656, 0, 0, 0, 233857024, 5234, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1058, 0, 0, 0, 233857024, 5618, 676, 7, 7, 375
